Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate,Rating_Count
"Suicide Squad: Kill the Justice League - Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-PPSA02182_00-SSKTJLDELUXE0000,0.4,780,468,13/3/2024 02:59 PM UTC,4.31,8.6k,Shooter,29/01/2024,8600
Horizon Forbidden West™: Burning Shores (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/EP9000-PPSA01521_00-BURNINGSHORESPS5,0.35,148,96.2,20/3/2024 03:59 PM UTC,4.55,29,Action,18/04/2023,29
"Horizon Forbidden West™ Complete Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/EP9000-PPSA17903_00-HFWCE00000000000,0.34,468,308.88,20/3/2024 03:59 PM UTC,4.64,32k,Action,05/10/2023,32000
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA05686_00-UNCHARTED4R00000,0.6,398,159.2,20/3/2024 03:59 PM UTC,4.74,179k,"Action, Adventure",27/01/2022,179000
"Marvel's Spider-Man: Miles Morales Ultimate Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA01419_00-MARVELSSMMDDE000,0.43,568,323.76,20/3/2024 03:59 PM UTC,4.58,102k,Action,11/11/2020,102000
"NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06979_00-NARUTOUNSAULT000,0.3,839,587.3,20/3/2024 03:59 PM UTC,3.73,3.3k,"Action, Fighting, Adventure",15/11/2023,3300
Bloodborne™ The Old Hunters Edition (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-CUSA03023_00-BLOODBORNE0000AS,0.5,268,134,20/3/2024 03:59 PM UTC,4.73,219k,"Action, Role Playing Games",24/11/2015,219000
"Metro Exodus: Gold Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Deep Silver,https://store.playstation.com/en-hk/product/UP2047-PPSA02395_00-821MEEGOLDEDGEN9,0.85,308,46.2,20/3/2024 03:59 PM UTC,4.53,43k,"Action, Adventure, Shooter",18/06/2021,43000
Metro Exodus - Expansion Pass (Add-On),Deep Silver,https://store.playstation.com/en-hk/product/UP2047-PPSA02395_00-METROEXODUSEPGN9,0.8,108,21.6,20/3/2024 03:59 PM UTC,0,0,"Action, Adventure, Shooter",18/06/2021,0
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Edition PS4 & PS5 (English, Japanese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFORIGINDDE00,0.4,500,300,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/03/2022,3600
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Edition PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA03908_00-SOPFFORIGINDDE00,0.4,500,300,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/03/2022,3600
"STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5 (English, Japanese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFORIGIN00000,0.4,314,188.4,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/03/2022,3600
